sha256,bytes,paths_in_same_hash_group,relativePath,outJson,blockCount
5ef78a323a869abe2c96e1f0c4aa4495489de3909761d1c82b39c350fc6eab86,154196,2,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad presencial/Alcance matrícula GR_MP_ABR-AGO_2026.pdf","5ef78a32_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_presencial_Alcance_matri_cula_GR_MP_ABR-AGO_2026.json",233
44c9ac7f7366cb99627a162e15b898183826e952503333c8693584bdd05cc6dc,495976,3,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad presencial/Cronograma académico internado rotativo GR__P__Íntegro__202640.pdf","44c9ac7f_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_presencial_Cronograma_acade_mico_internado_rotativo_GR_P_I_ntegro_.json",883
714162353d896cfe45f6161039f8fb7316b1e7f8e1a5a6e50df924f134da0647,911862,13,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad presencial/Cronograma Ubicación-Suficiencia-Validación conocimientos de Inglés_GR-TEC-PS_D-El-P_Íntegro_202630.pdf","71416235_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_presencial_Cronograma_Ubicacio_n-Suficiencia-Validacio_n_conocimie.json",2106
eee1c735ea4b9a4725d3a7b45546c4316b424bef1a1c62c2478ab9c4c3212818,3198758,9,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad presencial/Cronograma Unidad Integración Curricular_GR-PS-TEC_D-EL-P_Íntegro_202630.pdf","eee1c735_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_presencial_Cronograma_Unidad_Integracio_n_Curricular_GR-PS-TEC_D-E.json",5423
18b209296a738dfe92cf959d218e7894b1c8b4eddc7f722cd95ac38c4a112a5e,3933378,7,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad presencial/Cronograma Unidad Titulación Especial_GR-PS_D-P_Íntegro_202630.pdf","18b20929_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_presencial_Cronograma_Unidad_Titulacio_n_Especial_GR-PS_D-P_I_nteg.json",6537
882543dbe81055bab12932d31f7aa53a932dadb831acc6eb5e3c27391c0e132d,883651,11,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad presencial/Cronograma Validación general_GR-PS-TEC_D-EL-P_Íntegro_202630.pdf","882543db_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_presencial_Cronograma_Validacio_n_general_GR-PS-TEC_D-EL-P_I_ntegr.json",2044
cb6ca08ae03ff5fb2381640017b2b79fff6d2e5454dc8a77c8e89f7a7ea95b7b,1942808,2,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad presencial/Cronograma_Académico regular-CCE_GR_P_Íntegro_ABR-AGO_2026.pdf","cb6ca08a_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_presencial_Cronograma_Acade_mico_regular-CCE_GR_P_I_ntegro_ABR-AGO.json",2156
7615cf1330379c5997b9e30f7e0ba7ded4bd7dbea07ba4f4b1d0f389f97d8a20,114328,2,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad presencial/Matrículas Curso Competencias Específicas (CCE)_GR_P__ABR-AGO_2026.pdf","7615cf13_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_presencial_Matri_culas_Curso_Competencias_Especi_ficas_CCE_GR_P_AB.json",110
53860cfdf04d715c462cd739a59c20e0188ff5b658f97aeaabfcc72d343c902a,117172,2,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad presencial/Matrículas Unidad Titulación Especial (UTE)_GR_P__ABR-AGO_2026.pdf","53860cfd_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_presencial_Matri_culas_Unidad_Titulacio_n_Especial_UTE_GR_P_ABR-AG.json",102
6232b5beb0b7e94b367be49a3d9cf149433095b56ba7245358be9cab03b76680,329309,2,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad presencial/Matrículas_GR_P__ABR-AGO_2026.pdf","6232b5be_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_presencial_Matri_culas_GR_P_ABR-AGO_2026.json",459
